1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
3958	n-m	leh'-shem	leshem	heb	- לֶשֶׁם	from an unused root of uncertain ◊meaning;		◊meaning:	- a	- def: gem	- ', perhaps the'	- def: jacinth	usage: ligure.																																					
3959	n-pr-loc	leh'-shem	Leshem	x-pn	- לֶשֶׁם	- the same as	  - '@src': H3958	  - '3958'	- ;	◊meaning:	- def: Leshem	- ', a place in Palestine'	usage: Leshem.																																					
3960	v	law-shan'	lâshan	heb	- לָשַׁן	- a primitive root; properly, to lick; but used only as a denominative from	  - '@src': H3956	  - '3956'	- ;	◊meaning:	- to	- def: wag the tongue	- ', i.e. to'	- def: calumniate	usage: accuse, slander.																																			
3961	n-m	lish-shawn'	lishshân	arc	- לִשָּׁן	- (Aramaic) corresponding to	  - '@src': H3956	  - '3956'	- ;	◊meaning:	- def: speech	- ', i.e. a'	- def: nation	usage: language.																																				
3962	n-pr-loc	leh'-shah	Leshaʻ	x-pn	- לֶשַׁע	from an unused root thought to mean to break through; a boiling spring;		◊meaning:	- def: Lesha	- ', a place probably East of the Jordan'	usage: Lasha.																																							
3963	n-m	leh'-thek	lethek	heb	- לֶתֶךְ	from an unused root of uncertain ◊meaning;		◊meaning:	- a	- def: measure	- for things dry	usage: half homer.																																						
3964	i	maw	mâʼ	arc	- מָא	- (Aramaic) corresponding to	  - '@src': H4100	  - '4100'	- ;	◊meaning:	- (as indefinitely)	- def: that	usage: + what.																																					
3965	n-m	mah-ab-ooce'	maʼăbûwç	heb	- מַאֲבוּס	- from	  - '@src': H75	  - '75'	- ;	◊meaning:	- a	- def: granary	usage: storehouse.																																					
3966	a	meh-ode'	mᵉʼôd	heb	- מְאֹד	- from the same as	  - '@src': H181	  - '181'	- ;	◊meaning:	- properly,	- def: vehemence	- ', i.e. (with or without preposition)'	- def: vehemently	- ; by implication,	- def: wholly	- ','	- def: speedily	- ', etc. (often with other words as an intensive or superlative; especially when	  repeated)'	usage: diligently, especially, exceeding(-ly), far, fast, good, great(-ly), ×	  louder and louder, might(-ily, -y), (so) much, quickly, (so) sore, utterly,	  very (  much, sore), well.																											
3967	n-f	may-aw'	mêʼâh	heb	- מֵאָה	- or	  - '@pron': may-yaw'	  - '@xlit': mêʼyâh	  - מֵאיָה	- ; properly, a primitive numeral	◊meaning:	- a	- def: hundred	- ; also as a multiplicative and a fraction	usage: hundred((-fold), -th),   sixscore.																																			
3968	n-f	may-aw'	Mêʼâh	x-pn	- מֵאָה	- the same as	  - '@src': H3967	  - '3967'	- ;	◊meaning:	- def: Meah	- ', a tower in Jerusalem'	usage: Meah.																																					
3969	n-f	meh-aw'	mᵉʼâh	arc	- מְאָה	- (Aramaic) corresponding to	  - '@src': H3967	  - '3967'	- ; properly, a primitive numeral	◊meaning:	- a	- def: hundred	- ; also as a multiplicative and a fraction}	usage: hundred.																																				
3970	n-m	mah-av-ah'ee	maʼăvay	heb	- מַאֲוַי	- from	  - '@src': H183	  - '183'	- ;	◊meaning:	- a	- def: desire	usage: desire.																																					
3971	n-m	moom	mʼûwm	heb	- מאוּם	- usually	  - '@pron': moom	  - '@xlit': mûwm	  - מוּם	- ; as if passive participle from an unused root probably ◊meaning to	- def: stain	◊meaning:	- a	- def: blemish	- (physically or morally)	usage: blemish, blot, spot.																																		
3972	x	meh-oo'-maw	mᵉʼûwmâh	heb	- מְאוּמָה	- apparently a form of	  - '@src': H3971	  - '3971'	- ;	◊meaning:	- properly, a	- def: speck	- or	- def: point	- ', i.e. (by implication) something; with negative,'	- def: nothing	usage: fault,   no(-ught), ought, somewhat, any (no-)thing.																																	
3973	n-m	maw-oce'	mâʼôwç	heb	- מָאוֹס	- from	  - '@src': H3988	  - '3988'	- ;	◊meaning:	  def: refuse	usage: refuse.																																						
3974	n-m	maw-ore'	mâʼôwr	heb	- מָאוֹר	- or	  - '@pron': maw-ore'	  - '@xlit': mâʼôr	  - מָאֹר	- ; also (in plural) feminine	- w:	  - '@pron': meh-o-raw'	  - '@xlit': mᵉʼôwrâh	  - מְאוֹרָה	- ; or	- w:	  - '@pron': meh-o-raw'	  - '@xlit': mᵉʼôrâh	  - מְאֹרָה	- ; from	- w:	  - '@src': H215	  - '215'	- ;	◊meaning:	- properly, a	- def: luminous	- body or	- def: luminary	- ', i.e. (abstractly)'	- def: light	- (as an element); figuratively,	- def: brightness	- ', i.e.'	- def: cheerfulness	- ; specifically, a	- def: chandelier	usage: bright, light.												
3975	n-f	meh-oo-raw'	mᵉʼûwrâh	heb	- מְאוּרָה	- feminine passive participle of	  - '@src': H215	  - '215'	- ;	◊meaning:	- something	- def: lighted	- ', i.e. an'	- def: aperture	- ; by implication, a	- def: crevice	- or	- def: hole	- (of a serpent)	usage: den.																														
3976	n-m	mo-zane'	môʼzên	heb	- מֹאזֵן	- from	  - '@src': H239	  - '239'	- ;	◊meaning:	- (only in the dual) a pair of	- def: scales	usage: balances.																																					
3977	n-m	mo-zane'	môʼzên	arc	- מֹאזֵן	- (Aramaic) corresponding to	  - '@src': H3976	  - '3976'	usage: balances.																																									
3978	n-m	mah-ak-awl'	maʼăkâl	heb	- מַאֲכָל	- from	  - '@src': H398	  - '398'	- ;	◊meaning:	- an	- def: eatable	- (includ. provender, flesh and fruit)	usage: food, fruit, (bake-)meat(-s), victual.																																				
3979	n-f	mah-ak-eh'-leth	maʼăkeleth	heb	- מַאֲכֶלֶת	- from	  - '@src': H398	  - '398'	- ;	◊meaning:	- something to	- def: eat	- with, i.e. a	- def: knife	usage: knife.																																			
3980	n-f	mah-ak-o'-leth	maʼăkôleth	heb	- מַאֲכֹלֶת	- from	  - '@src': H398	  - '398'	- ;	◊meaning:	- something	- def: eaten	- (by fire), i.e.	- def: fuel	usage: fuel.																																			
3981	n-m	mah-am-awts'	maʼămâts	heb	- מַאֲמָץ	- from	  - '@src': H553	  - '553'	- ;	◊meaning:	- def: strength	- ', i.e. (plural)'	- def: resources	usage: force.																																				
3982	n-m	mah-am-ar'	maʼămar	heb	- מַאֲמַר	- from	  - '@src': H559	  - '559'	- ;	◊meaning:	- something (authoritatively)	- def: said	- ', i.e. an'	- def: edict	usage: commandment, decree.																																			
3983	n-m	may-mar'	mêʼmar	arc	- מֵאמַר	- (Aramaic) corresponding to	  - '@src': H3982	  - '3982'	usage: appointment, word.																																									
3984	n-m	mawn	mâʼn	arc	- מָאן	- (Aramaic) probably from a root corresponding to	  - '@src': H579	  - '579'	- in the sense of an inclosure by sides;	◊meaning:	- a	- def: utensil	usage: vessel.																																					
3985	v	maw-ane'	mâʼên	heb	- מָאֵן	a primitive root;		◊meaning:	- to	- def: refuse	usage: refuse, × utterly.																																							
3986	a	maw-ane'	mâʼên	heb	- מָאֵן	- from	  - '@src': H3985	  - '3985'	- ;	◊meaning:	  def: unwilling	usage: refuse.																																						
3987	a	may-ane'	mêʼên	heb	- מֵאֵן	- from	  - '@src': H3985	  - '3985'	- ;	◊meaning:	  def: refractory	usage: refuse.																																						
3988	v	maw-as'	mâʼaç	heb	- מָאַס	a primitive root;		◊meaning:	- to	- def: spurn	- ; also (intransitively) to	- def: disappear	usage: abhor, cast away (off), contemn, despise, disdain, (become) loathe(some),	  melt away, refuse, reject, reprobate, × utterly, vile person.																																				
3989	n-m	mah-af-eh'	maʼăpheh	heb	- מַאֲפֶה	- from	  - '@src': H644	  - '644'	- ;	◊meaning:	- something	- def: baked	- ', i.e. a'	- def: batch	usage: baken.																																			
3990	n-m	mah-af-ale'	maʼăphêl	heb	- מַאֲפֵל	- from the same as	  - '@src': H651	  - '651'	- ;	◊meaning:	- something	- def: opaque	usage: darkness.																																					
3991	n-f	mah-af-ay-leh-yaw'	maʼphêlᵉyâh	heb	- מַאְפֵלְיָה	note: lemma מַאֲפֵלְיָה second vowel, corrected to מַאְפֵלְיָה		source:	- prolonged feminine of	- w:	  - '@src': H3990	  - '3990'	- ;	◊meaning:	  def: opaqueness	usage: darkness.																																		
3992	v	maw-ar'	mâʼar	heb	- מָאַר	a primitive root;		◊meaning:	- to	- def: be bitter	- or (causatively) to	- def: embitter	- ', i.e.'	- def: be painful	usage: fretting, picking.																																			
3993	n-m	mah-ar-awb'	maʼărâb	heb	- מַאֲרָב	- from	  - '@src': H693	  - '693'	- ;	◊meaning:	- an	- def: ambuscade	usage: lie in ambush, ambushment, lurking place, lying in wait.																																					
3994	n-f	meh-ay-raw'	mᵉʼêrâh	heb	- מְאֵרָה	- from	  - '@src': H779	  - '779'	- ;	◊meaning:	- an	- def: execration	usage: curse.																																					
3995	n-f	mib-daw-law'	mibdâlâh	heb	- מִבְדָּלָה	- from	  - '@src': H914	  - '914'	- ;	◊meaning:	- a	- def: separation	- ', i.e. (concretely) a'	- def: separate place	usage: separate.																																			
3996	n-m	maw-bo'	mâbôwʼ	heb	- מָבוֹא	- from	  - '@src': H935	  - '935'	- ; (with or without	- w:	  - '@src': H8121	  - '8121'	- )	◊meaning:	- an	- def: entrance	- (the place or the act); specifically	- def: sunset	- or the	- def: west	- ; also (adverb with preposition)	- def: towards	usage:	- by which came, as cometh, in coming, as men enter into, entering, entrance into,	  entry, where goeth, going down,   westward. Compare	- w:	  - '@src': H4126	  - '4126'	- .																					
3997	n-f	meb-o-aw'	mᵉbôwʼâh	heb	- מְבוֹאָה	- feminine of	  - '@src': H3996	  - '3996'	- ;	◊meaning:	  def: a haven	usage: entry.																																						
3998	n-f	meb-oo-kaw'	mᵉbûwkâh	heb	- מְבוּכָה	- from	  - '@src': H943	  - '943'	- ;	◊meaning:	  def: perplexity	usage: perplexity.																																						
3999	n-m	mab-bool'	mabbûwl	heb	- מַבּוּל	- from	  - '@src': H2986	  - '2986'	- in the sense of flowing;	◊meaning:	- a	- def: deluge	usage: flood.																																					
4000	n	maw-bone'	mâbôwn	heb	- מָבוֹן	- from	  - '@src': H995	  - '995'	- ;	◊meaning:	  def: instructing	usage: taught.																																						
4001	n-f	meb-oo-saw'	mᵉbûwçâh	heb	- מְבוּסָה	- from	  - '@src': H947	  - '947'	- ;	◊meaning:	- a	- def: trampling	usage: treading (trodden) down (under foot).																																					
4002	n-m	mab-boo'-ah	mabbûwaʻ	heb	- מַבּוּעַ	- from	  - '@src': H5042	  - '5042'	- ;	◊meaning:	- a	- def: fountain	usage: fountain, spring.																																					
4003	n-f	meb-oo-kah'	mᵉbûwqâh	heb	- מְבוּקָה	- from the same as	  - '@src': H950	  - '950'	- ;	◊meaning:	  def: emptiness	usage: void.																																						
4004	n-m	mib-khore'	mibchôwr	heb	- מִבְחוֹר	- from	  - '@src': H977	  - '977'	- ;	◊meaning:	- def: select	- ', i.e.'	- def: well fortified	usage: choice.																																				
4005	n-m	mib-khawr'	mibchâr	heb	- מִבְחָר	- from	  - '@src': H977	  - '977'	- ;	◊meaning:	- def: select	- ', i.e. best'	usage: choice(-st), chosen.																																					
4006	n-pr-m	mib-khawr'	Mibchâr	x-pn	- מִבְחָר	- the same as	  - '@src': H4005	  - '4005'	- ;	◊meaning:	- def: Mibchar	- ', an Israelite'	usage: Mibhar.																																					
4007	n-m	mab-bawt'	mabbâṭ	heb	- מַבָּט	- or	  - '@pron': meb-bawt'	  - '@xlit': mebbâṭ	  - מֶבָּט	- ; from	- w:	  - '@src': H5027	  - '5027'	- ;	◊meaning:	- something	- def: expected	- ', i.e. (abstractly)'	- def: expectation	usage: expectation.																														
4008	n-m	mib-taw'	mibṭâʼ	heb	- מִבְטָא	- from	  - '@src': H981	  - '981'	- ;	◊meaning:	- a	- def: rash utterance	- (hasty vow)	usage: (that which...) uttered (out of).																																				
4009	n-m	mib-tawkh'	mibṭâch	heb	- מִבְטָח	- from	  - '@src': H982	  - '982'	- ;	◊meaning:	- properly, a	- def: refuge	- ', i.e. (objective)'	- def: security	- ', or (subjective)'	- def: assurance	usage: confidence, hope, sure, trust.																																	
4010	n-f	mab-leeg-eeth'	mablîygîyth	heb	- מַבְלִיגִית	- from	  - '@src': H1082	  - '1082'	- ;	◊meaning:	- def: desistance	- (or rather desolation)	usage: comfort self.																																					
4011	n-m	mib-neh'	mibneh	heb	- מִבְנֶה	- from	  - '@src': H1129	  - '1129'	- ;	◊meaning:	- a	- def: building	usage: frame.																																					
4012	n-pr-m	meb-oon-hah'-ee	Mᵉbunnay	x-pn	- מְבֻנַּי	- from	  - '@src': H1129	  - '1129'	- ; built up;	◊meaning:	- def: Mebunnai	- ', an Israelite'	usage: Mebunnai.																																					
4013	n-m	mib-tsawr'	mibtsâr	heb	- מִבְצָר	- also (in plural) feminine (Daniel 11:l5)	  - '@pron': mib-tsaw-raw'	  - '@xlit': mibtsârâh	  - מִבְצָרָה	- ; from	- w:	  - '@src': H1219	  - '1219'	- ;	◊meaning:	- a	- def: fortification	- ','	- def: castle	- ', or'	- def: fortified	- city; figuratively, a	- def: defender	usage: (de-, most) fenced, fortress, (most) strong (hold).																										
4014	n-pr-m	mib-tsawr'	Mibtsâr	x-pn	- מִבְצָר	- the same as	  - '@src': H4013	  - '4013'	- ;	◊meaning:	- def: Mibtsar	- ', an Idumaean'	usage: Mibzar.																																					
4015	n-m	mib-rawkh'	mibrâch	heb	- מִבְרָח	- from	  - '@src': H1272	  - '1272'	- ;	◊meaning:	- a	- def: refugee	usage: fugitive.																																					
4016	n-m	maw-boosh'	mâbush	heb	- מָבֻשׁ	- from	  - '@src': H954	  - '954'	- ;	◊meaning:	- (plural) the (male)	- def: pudenda	usage: secrets.																																					
4017	n-pr-m	mib-sawm'	Mibsâm	x-pn	- מִבְשָׂם	- from the same as	  - '@src': H1314	  - '1314'	- ; fragrant;	◊meaning:	- def: Mibsam	- ', the name of an Ishmaelite and of an Israelite'	usage: Mibsam.																																					
4018	n-f	meb-ash-shel-aw'	mᵉbashshᵉlâh	heb	- מְבַשְּׁלָה	- from	  - '@src': H1310	  - '1310'	- ;	◊meaning:	- a	- def: cooking hearth	usage: boiling-place.																																					
4019	n-pr-m	mag-beesh'	Magbîysh	x-pn	- מַגְבִּישׁ	- from the same as	  - '@src': H1378	  - '1378'	- ; stiffening;	◊meaning:	- def: Magbish	- ', an Israelite, or a place in Palestine'	usage: Magbish.																																					
4020	n-f	mig-baw-law'	migbâlâh	heb	- מִגְבָּלָה	- from	  - '@src': H1379	  - '1379'	- ;	◊meaning:	- a	- def: border	usage: end.																																					
4021	n-f	mig-baw-aw'	migbâʻâh	heb	- מִגְבָּעָה	- from the same as	  - '@src': H1389	  - '1389'	- ;	◊meaning:	- a	- def: cap	- (as	- def: hemispherical	- )	usage: bonnet.																																		
4022	n-m	meh'-ghed	meged	heb	- מֶגֶד	from an unused root probably ◊meaning to be eminent;		◊meaning:	- properly, a	- def: distinguished thing	- ; hence something	- def: valuable	- ', as a product or fruit'	usage: pleasant, precious fruit (thing).																																				
4023	n-pr-loc	meg-id-done'	Mᵉgiddôwn	x-pn	- מְגִדּוֹן	- (Zechariah	  - '@src': H12	  - '12'	- ) or	- w:	  - '@pron': meg-id-do'	  - '@xlit': Mᵉgiddôw	  - מְגִדּוֹ	- ; from	- w:	  - '@src': H1413	  - '1413'	- ; rendezvous;	◊meaning:	- def: Megiddon	- or	- def: Megiddo	- ', a place in Palestine'	usage: Megiddo, Megiddon.																										
4024	n-pr-m n-m	mig-dole'	Migdôwl	x-pn	- מִגְדּוֹל	- or	  - '@pron': mig-dole'	  - '@xlit': Migdôl	  - מִגְדֹּל	- ; probably of Egyptian origin;	◊meaning:	- def: Migdol	- ', a place in Egypt'	usage: Migdol, tower.																																				
4025	n-pr-m	mag-dee-ale'	Magdîyʼêl	x-pn	- מַגְדִּיאֵל	- from	  - '@src': H4022	  - '4022'	- and	- w:	  - '@src': H410	  - '410'	- ;	- def: preciousness of God	- ;	◊meaning:	- def: Magdiel	- ', an Idumaean'	usage: Magdiel.																															
4026	n-m	mig-dawl'	migdâl	heb	- מִגְדָּל	- also (in plural) feminine	  - '@pron': mig-daw-law'	  - '@xlit': migdâlâh	  - מִגְדָּלָה	- ; from	- w:	  - '@src': H1431	  - '1431'	- ;	◊meaning:	- a	- def: tower	- (from its size or height); by analogy, a	- def: rostrum	- ; figuratively, a (pyramidal)	- def: bed of flowers	usage: castle, flower, tower. Compare the names following.																												
4027	n-pr-loc	mig-dal-ale'	Migdal-ʼÊl	x-pn	- מִגְדַּל־אֵל	- from	  - '@src': H4026	  - '4026'	- and	- w:	  - '@src': H410	  - '410'	- ; tower of God;	◊meaning:	- def: Migdal-El	- ', a place in Palestine'	usage: Migdal-el.																																	
4028	n-pr-loc	migdal-gawd'	Migdal-Gâd	x-pn	- מִגְדַּל־גָּד	- from	  - '@src': H4026	  - '4026'	- and	- w:	  - '@src': H1408	  - '1408'	- ; tower of Fortune;	◊meaning:	- def: Migdal-Gad	- ', a place in Palestine'	usage: Migdal-gad.																																	
4029	n	mig-dal'-ay'-der	Migdal-ʻÊder	x-pn	- מִגְדַּל־עֵדֶר	- from	  - '@src': H4026	  - '4026'	- and	- w:	  - '@src': H5739	  - '5739'	- ;	- def: tower of a flock	- ;	◊meaning:	- def: Migdal-Eder	- ', a place in Palestine'	usage: Migdal-eder, tower of the flock.																															
4030	n-f	mig-daw-naw'	migdânâh	heb	- מִגְדָּנָה	- from the same as	  - '@src': H4022	  - '4022'	- ;	◊meaning:	- def: preciousness	- ', i.e. a'	- def: gem	usage: precious thing, present.																																				
4031	n-pr-m n-pr-loc	maw-gogue'	Mâgôwg	x-pn	- מָגוֹג	- from	  - '@src': H1463	  - '1463'	- ;	◊meaning:	- def: Magog	- ', a son of Japheth; also a barbarous northern region'	usage: Magog.																																					
4032	n-m	maw-gore'	mâgôwr	heb	- מָגוֹר	- or (Lamentations 2:22)	  - '@pron': maw-goor'	  - '@xlit': mâgûwr	  - מָגוּר	- ; from	- w:	  - '@src': H1481	  - '1481'	- in the sense of	- def: fearing	- ;	◊meaning:	- a	- def: fright	- (objective or subjective)	usage:	- fear, terror. Compare	- w:	  - '@src': H4036	  - '4036'	- .																								
4033	n-m	maw-goor'	mâgûwr	heb	- מָגוּר	- or	  - '@pron': maw-goor'	  - '@xlit': mâgur	  - מָגֻר	- ; from	- w:	  - '@src': H1481	  - '1481'	- in the sense of lodging;	◊meaning:	- a	- def: temporary abode	- ; by extension, a	- def: permanent residence	usage:	- dwelling, pilgrimage, where sojourn, be a stranger. Compare	- w:	  - '@src': H4032	  - '4032'	- .																									
4034	n-f	meg-o-raw'	mᵉgôwrah	heb	- מְגוֹרַה	- feminine of	  - '@src': H4032	  - '4032'	- ;	◊meaning:	  def: affright	usage: fear.																																						
4035	n-f	meg-oo-raw'	mᵉgûwrâh	heb	- מְגוּרָה	- feminine of	  - '@src': H4032	  - '4032'	- or of	- w:	  - '@src': H4033	  - '4033'	- ;	◊meaning:	- a	- def: fright	- ; also a	- def: granary	usage: barn, fear.																															
4036	n-pr-m	maw-gore' mis-saw-beeb'	Mâgôwr miç-Çâbîyb	x-pn	- מָגוֹר מִסָּבִיב	- from	  - '@src': H4032	  - '4032'	- and	- w:	  - '@src': H5439	  - '5439'	- with the preposition inserted; affright from around;	◊meaning:	- def: Magor-mis-Sabib	- ', a symbolic name of Pashur'	usage: Magormissabib.																																	
4037	n-f	mag-zay-raw'	magzêrâh	heb	- מַגְזֵרָה	- from	  - '@src': H1504	  - '1504'	- ;	◊meaning:	- a	- def: cutting implement	- ', i.e. a'	- def: blade	usage: axe.																																			
4038	n-m	mag-gawl'	maggâl	heb	- מַגָּל	- from an unused root ◊meaning to	- ;	◊meaning:	- a	- def: sickle	usage: sickle.																																							
4039	n-f	meg-il-law'	mᵉgillâh	heb	- מְגִלָּה	- from	  - '@src': H1556	  - '1556'	- ;	◊meaning:	- a	- def: roll	usage: roll, volume.																																					
4040	n-f	meg-il-law'	mᵉgillâh	arc	- מְגִלָּה	- (Aramaic) corresponding to	  - '@src': H4039	  - '4039'	usage: roll.																																									
4041	n-f	meg-am-maw'	mᵉgammâh	heb	- מְגַמָּה	- from the same as	  - '@src': H1571	  - '1571'	- ;	◊meaning:	- properly,	- def: accumulation	- ', i.e.'	- def: impulse	- or	- def: direction	usage: sup up.																																	
4042	v	maw-gan'	mâgan	heb	- מָגַן	- a denominative from	  - '@src': H4043	  - '4043'	- ;	◊meaning:	- properly, to	- def: shield	- ;	- def: encompass with	- ; figuratively, to	- def: rescue	- ', to'	- def: hand safely over	- (i.e. surrender)	usage: deliver.																														
4043	n-m	maw-gane'	mâgên	heb	- מָגֵן	- also (in plural) feminine	  - '@pron': meg-in-naw'	  - '@xlit': mᵉginnâh	  - מְגִנָּה	- ; from	- w:	  - '@src': H1598	  - '1598'	- ;	◊meaning:	- a	- def: shield	- (i.e. the small one or buckler); figuratively, a	- def: protector	- ; also the scaly	- def: hide	- of the crocodile	usage: × armed, buckler, defence, ruler,   scale, shield.																											
4044	n-f	meg-in-naw'	mᵉginnâh	heb	- מְגִנָּה	- from	  - '@src': H4042	  - '4042'	- ;	◊meaning:	- a	- def: covering	- (in a bad sense), i.e.	- def: blindness	- or	- def: obduracy	usage:	- sorrow. See also	- w:	  - '@src': H4043	  - '4043'	- .																												
4045	n-f	mig-eh'-reth	migʻereth	heb	- מִגְעֶרֶת	- from	  - '@src': H1605	  - '1605'	- ;	◊meaning:	- def: reproof	- (i.e. curse)	usage: rebuke.																																					
4046	n-f	mag-gay-faw'	maggêphâh	heb	- מַגֵּפָה	- from	  - '@src': H5062	  - '5062'	- ;	◊meaning:	- a	- def: pestilence	- ; by analogy,	- def: defeat	usage: (× be) plague(-d), slaughter, stroke.																																			
4047	n-pr-m	mag-pee-awsh'	Magpîyʻâsh	x-pn	- מַגְפִּיעָשׁ	- apparently from	  - '@src': H1479	  - '1479'	- or	- w:	  - '@src': H5062	  - '5062'	- and	- w:	  - '@src': H6211	  - '6211'	- ; exterminator of (the) moth;	◊meaning:	- def: Magpiash	- ', an Israelite'	usage: Magpiash.																													
4048	v	maw-gar'	mâgar	heb	- מָגַר	a primitive root;		◊meaning:	- to	- def: yield up	- ; intensively, to	- def: precipitate	usage: cast down, terror.																																					
4049	v	meg-ar'	mᵉgar	arc	- מְגַר	- (Aramaic) corresponding to	  - '@src': H4048	  - '4048'	- ;	◊meaning:	- to	- def: overthrow	usage: destroy.																																					
4050	n-f	meg-ay-raw'	mᵉgêrâh	heb	- מְגֵרָה	- from	  - '@src': H1641	  - '1641'	- ;	◊meaning:	- a	- def: saw	usage: axe, saw.																																					
4051	n-pr-loc	mig-rone'	Migrôwn	x-pn	- מִגְרוֹן	- from	  - '@src': H4048	  - '4048'	- ;	- def: precipice	- ;	◊meaning:	- def: Migron	- ', a place in Palestine'	usage: Migron.																																			
4052	n-f	mig-raw-aw'	migrâʻâh	heb	- מִגְרָעָה	- from	  - '@src': H1639	  - '1639'	- ;	◊meaning:	- a	- def: ledge	- or	- def: offset	usage: narrowed rest.																																			
4053	n-f	mig-raw-faw'	migrâphâh	heb	- מִגְרָפָה	- from	  - '@src': H1640	  - '1640'	- ;	◊meaning:	- something	- def: thrown off	- (by the spade), i.e. a	- def: clod	usage: clod.																																			
4054	n-m	mig-rawsh'	migrâsh	heb	- מִגְרָשׁ	- also (in plural) feminine (Ezekiel 27:28)	  - '@pron': mig-raw-shaw'	  - '@xlit': migrâshâh	  - מִגְרָשָׁה	- ; from	- w:	  - '@src': H1644	  - '1644'	- ;	◊meaning:	- a	- def: suburb	- (i.e. open country whither flocks are driven from pasture); hence, the	- def: area around a building	- ', or the'	- def: margin of the sea	usage: cast out, suburb.																												
4055	n-m	mad	mad	heb	- מַד	- or	  - '@pron': made	  - '@xlit': mêd	  - מֵד	- ; from	- w:	  - '@src': H4058	  - '4058'	- ;	◊meaning:	- properly,	- def: extent	- ', i.e.'	- def: height	- ; also a	- def: measure	- ; by implication, a	- def: vesture	- (as measured); also a	- def: carpet	usage: armour, clothes, garment, judgment, measure, raiment, stature.																								
4056	n-m	mad-bakh'	madbach	arc	- מַדְבַּח	- (Aramaic) from	  - '@src': H1684	  - '1684'	- ;	◊meaning:	- a	- def: sacrificial altar	usage: altar.																																					
4057	n-m	mid-bawr'	midbâr	heb	- מִדְבָּר	- from	  - '@src': H1696	  - '1696'	- in the sense of driving;	◊meaning:	- a	- def: pasture	- (i.e. open field, whither cattle are driven); by implication, a	- def: desert	- ; also	- def: speech	- (including its organs)	usage: desert, south, speech, wilderness.																																
4058	v	maw-dad'	mâdad	heb	- מָדַד	a primitive root;		◊meaning:	- properly, to	- def: stretch	- ; by implication, to	- def: measure	- (as if by	- def: stretching	- a line); figuratively, to	- def: be extended	usage: measure, mete, stretch self.																																	
4059	v	mid-dad'	middad	heb	- מִדַּד	- from	  - '@src': H5074	  - '5074'	- ;	◊meaning:	  def: flight	usage: be gone.																																						
4060	n-f	mid-daw'	middâh	heb	- מִדָּה	- feminine of	  - '@src': H4055	  - '4055'	- ;	◊meaning:	- properly,	- def: extension	- ', i.e.'	- def: height	- or	- def: breadth	- ; also a	- def: measure	- (including its standard); hence a	- def: portion	- (as measured) or a	- def: vestment	- ; specifically,	- def: tribute	- (as measured)	usage: garment, measure(-ing, meteyard, piece, size, (great) stature, tribute,	  wide.																							
4061	n-f	mid-daw'	middâh	arc	- מִדָּה	- (Aramaic) or	  - '@pron': min-daw'	  - '@xlit': mindâh	  - מִנְדָּה	- ; (Aramaic), corresponding to	- w:	  - '@src': H4060	  - '4060'	- ;	◊meaning:	  def: tribute in money	usage: toll, tribute.																																	
4062	n-f	mad-hay-baw'	madhêbâh	heb	- מַדְהֵבָה	- perhaps from the equivalent of	  - '@src': H1722	  - '1722'	- ;	◊meaning:	- def: goldmaking	- ', i.e.'	- def: exactness	usage: golden city.																																				
4063	n-m	meh'-dev	medev	heb	- מֶדֶו	- from an unused root ◊meaning to	- ;	◊meaning:	- properly,	- def: extent	- ', i.e.'	- def: measure	- ; by implication, a	- def: dress	- (as measured)	usage: garment.																																		
4064	n-m	mad-veh'	madveh	heb	- מַדְוֶה	- from	  - '@src': H1738	  - '1738'	- ;	◊meaning:	  def: sickness	usage: disease.																																						
4065	n-m	mad-doo'akh	maddûwach	heb	- מַדּוּחַ	- from	  - '@src': H5080	  - '5080'	- ;	◊meaning:	  def: seduction	usage: cause of banishment.																																						
4066	n-m	maw-dohn'	mâdôwn	heb	- מָדוֹן	- from	  - '@src': H1777	  - '1777'	- ;	◊meaning:	- a	- def: contest	- or	- def: quarrel	usage:	- brawling, contention(-ous), discord, strife. Compare	- w:	  - '@src': H4079	  - '4079'	- ','	- w:	  - '@src': H4090	  - '4090'	- .																										
4067	n-m	maw-dohn'	mâdôwn	heb	- מָדוֹן	- from the same as	  - '@src': H4063	  - '4063'	- ;	◊meaning:	- def: extensiveness	- ', i.e.'	- def: height	usage: stature.																																				
4068	n-pr-loc	maw-dohn'	Mâdôwn	x-pn	- מָדוֹן	- the same as	  - '@src': H4067	  - '4067'	- ;	◊meaning:	- def: Madon	- ', a place in Palestine'	usage: Madon.																																					
4069	adv	mad-doo'-ah	maddûwaʻ	heb	- מַדּוּעַ	- or	  - '@pron': maddoo'-ah	  - '@xlit': madduaʻ	  - מַדֻּעַ	- ; from	- w:	  - '@src': H4100	  - '4100'	- and the passive participle of	- w:	  - '@src': H3045	  - '3045'	- ;	◊meaning:	- def: what	- (is)	- def: known?	- ; i.e. (by implication) (adverbially)	- def: why?	usage: how, wherefore, why.																									
